skill_group_level_1,n_skills,ave_n_similar_l3,ave_n_similar_l3_automation_intent,ave_n_similar_l3_augmentation_intent,ave_n_similar_l3_company_source,ave_n_similar_l3_report_source
working with computers,304,1.4901315789473684,0.5723684210526315,0.6743421052631579,0.944078947368421,0.3848684210526316
information skills,1962,0.9928644240570846,0.3705402650356779,0.44954128440366975,0.6095820591233435,0.2579001019367992
"communication, collaboration and creativity",2342,0.6238257899231426,0.24338172502134928,0.26430401366353545,0.4069171648163962,0.14090520922288644
management skills,1332,0.5975975975975976,0.2575075075075075,0.21096096096096095,0.3588588588588589,0.15990990990990991
assisting and caring,1021,0.3476983349657199,0.16356513222331048,0.12928501469147893,0.20666013712047013,0.0881488736532811
constructing,484,0.19834710743801653,0.09090909090909091,0.08884297520661157,0.14049586776859505,0.04338842975206612
working with machinery and specialised equipment,1297,0.1117964533538936,0.04163454124903624,0.03932151117964534,0.06861989205859677,0.02467232074016962
handling and moving,1473,0.06381534283774609,0.04073319755600815,0.01697216564833673,0.04344874405974202,0.019008825526137134
