indicator,country,occupation,year,value
total employment,IT,3.35,2023,"410,800"
percent women,IT,3.35,2023,14.6%
total employment,LT,3.35,2023,"4,700"
percent women,LT,3.35,2021,22.4%
total employment,LU,3.35,2023,"3,100"
total employment,LV,3.35,2023,"8,100"
percent women,LV,3.35,2019,27.2%
total employment,NL,3.35,2023,"74,500"
percent women,NL,3.35,2023,21.9%
total employment,PL,3.35,2023,"112,400"
percent women,PL,3.35,2023,12.6%
total employment,PT,3.35,2023,"44,600"
percent women,PT,3.35,2023,20.3%
total employment,RO,3.35,2023,"47,500"
percent women,RO,3.35,2023,35.1%
total employment,SE,3.35,2023,"63,600"
percent women,SE,3.35,2023,20.1%
total employment,SI,3.35,2023,"7,000"
percent women,SI,3.35,2021,15.2%
total employment,SK,3.35,2023,"24,700"
percent women,SK,3.35,2020,12.1%
total employment,EU,3.34,2023,"3,642,500"
percent women,EU,3.34,2023,59.6%
percent unemployed,EU,3.34,2023,3.7%
relative income,EU,3.34,2023,77.3%
total employment,AT,3.34,2023,"94,600"
percent women,AT,3.34,2023,59.2%
total employment,BE,3.34,2023,"76,400"
percent women,BE,3.34,2023,60.9%
total employment,BG,3.34,2023,"16,700"
percent women,BG,3.34,2023,39.5%
total employment,CY,3.34,2023,"5,900"
percent women,CY,3.34,2023,42.9%
total employment,CZ,3.34,2023,"56,800"
percent women,CZ,3.34,2023,55.3%
total employment,DE,3.34,2023,"554,100"
percent women,DE,3.34,2023,55.1%
total employment,DK,3.34,2023,"47,600"
percent women,DK,3.34,2023,54.7%
total employment,EE,3.34,2023,"12,100"
percent women,EE,3.34,2023,60.6%
total employment,EL,3.34,2023,"42,700"
percent women,EL,3.34,2023,40.2%
total employment,ES,3.34,2023,"353,300"
percent women,ES,3.34,2023,50.8%
total employment,FI,3.34,2023,"88,400"
percent women,FI,3.34,2023,69.8%
total employment,FR,3.34,2023,"986,200"
percent women,FR,3.34,2023,63.9%
total employment,HR,3.34,2023,"13,600"
percent women,HR,3.34,2023,42.8%
total employment,HU,3.34,2023,"73,300"
percent women,HU,3.34,2023,67.9%
total employment,IE,3.34,2023,"61,700"
percent women,IE,3.34,2023,44.8%
total employment,IT,3.34,2023,"248,500"
percent women,IT,3.34,2023,53.2%
total employment,LT,3.34,2023,"19,500"
percent women,LT,3.34,2023,64.7%
total employment,LU,3.34,2023,"8,400"
percent women,LU,3.34,2023,58%
total employment,LV,3.34,2023,"11,800"
percent women,LV,3.34,2023,62.6%
total employment,NL,3.34,2023,"392,000"
percent women,NL,3.34,2023,67.4%
total employment,PL,3.34,2023,"239,700"
percent women,PL,3.34,2023,71%
total employment,PT,3.34,2023,"71,700"
percent women,PT,3.34,2023,52%
total employment,RO,3.34,2023,"36,000"
percent women,RO,3.34,2023,44.6%
total employment,SE,3.34,2023,"102,700"
percent women,SE,3.34,2023,58.5%
total employment,SI,3.34,2023,"9,400"
percent women,SI,3.34,2023,47%
total employment,SK,3.34,2023,"19,300"
percent women,SK,3.34,2023,44.6%
total employment,EU,3.33,2023,"13,663,600"
percent women,EU,3.33,2023,55.1%
percent unemployed,EU,3.33,2023,2%
relative income,EU,3.33,2023,106%
total employment,AT,3.33,2023,"377,700"
percent women,AT,3.33,2023,61.3%
total employment,BE,3.33,2023,"364,800"
percent women,BE,3.33,2023,52.2%
total employment,BG,3.33,2023,"152,000"
percent women,BG,3.33,2023,61.8%
total employment,CY,3.33,2023,"44,500"
percent women,CY,3.33,2023,57.1%
total employment,CZ,3.33,2023,"389,200"
percent women,CZ,3.33,2023,62.1%
total employment,DE,3.33,2023,"3,018,500"
percent women,DE,3.33,2023,53.7%
total employment,DK,3.33,2023,"261,500"
percent women,DK,3.33,2023,53.2%
total employment,EE,3.33,2023,"53,000"
percent women,EE,3.33,2023,64.6%
total employment,EL,3.33,2023,"127,600"
percent women,EL,3.33,2023,54.7%
total employment,ES,3.33,2023,"1,143,900"
percent women,ES,3.33,2023,44.6%
total employment,FI,3.33,2023,"176,300"
percent women,FI,3.33,2023,56.5%
total employment,FR,3.33,2023,"2,073,000"
percent women,FR,3.33,2023,66.6%
total employment,HR,3.33,2023,"86,900"
percent women,HR,3.33,2023,63.1%
total employment,HU,3.33,2023,"387,600"
percent women,HU,3.33,2023,67.4%
total employment,IE,3.33,2023,"166,000"
percent women,IE,3.33,2023,53.2%
total employment,IT,3.33,2023,"1,706,200"
percent women,IT,3.33,2023,42.6%
total employment,LT,3.33,2023,"63,800"
percent women,LT,3.33,2023,64%
total employment,LU,3.33,2023,"26,900"
percent women,LU,3.33,2023,58.3%
total employment,LV,3.33,2023,"67,000"
percent women,LV,3.33,2023,68.9%
total employment,NL,3.33,2023,"645,100"
percent women,NL,3.33,2023,48.8%
total employment,PL,3.33,2023,"1,139,700"
percent women,PL,3.33,2023,60%
total employment,PT,3.33,2023,"255,600"
percent women,PT,3.33,2023,53.8%
total employment,RO,3.33,2023,"245,400"
percent women,RO,3.33,2023,55.8%
total employment,SE,3.33,2023,"467,500"
percent women,SE,3.33,2023,53.3%
total employment,SI,3.33,2023,"70,900"
percent women,SI,3.33,2023,61%
total employment,SK,3.33,2023,"153,000"
percent women,SK,3.33,2023,66.2%
total employment,EU,3.31,2023,"7,157,300"
percent women,EU,3.31,2023,19.2%
percent unemployed,EU,3.31,2023,1.5%
relative income,EU,3.31,2023,113.3%
total employment,AT,3.31,2023,"222,900"
percent women,AT,3.31,2023,10.3%
total employment,BE,3.31,2023,"157,500"
percent women,BE,3.31,2023,19.1%
total employment,BG,3.31,2023,"70,800"
percent women,BG,3.31,2023,17.1%
total employment,CY,3.31,2023,"10,300"
percent women,CY,3.31,2023,14.8%
total employment,CZ,3.31,2023,"236,800"
percent women,CZ,3.31,2023,18.1%
total employment,DE,3.31,2023,"1,803,100"
percent women,DE,3.31,2023,19.9%
total employment,DK,3.31,2023,"146,300"
percent women,DK,3.31,2023,16.5%
total employment,EE,3.31,2023,"21,200"
percent women,EE,3.31,2023,19.1%
total employment,EL,3.31,2023,"72,700"
percent women,EL,3.31,2023,17.3%
total employment,ES,3.31,2023,"498,500"
percent women,ES,3.31,2023,22.2%
total employment,FI,3.31,2023,"100,400"
percent women,FI,3.31,2023,23%
total employment,FR,3.31,2023,"1,023,800"
percent women,FR,3.31,2023,17.1%
total employment,HR,3.31,2023,"65,300"
percent women,HR,3.31,2023,18.7%
total employment,HU,3.31,2023,"124,600"
percent women,HU,3.31,2023,22.7%
total employment,IE,3.31,2023,"41,800"
percent women,IE,3.31,2023,33.7%
total employment,IT,3.31,2023,"959,600"
percent women,IT,3.31,2023,18.2%
total employment,LT,3.31,2023,"32,500"
percent women,LT,3.31,2023,25.7%
total employment,LU,3.31,2023,"4,900"
percent women,LU,3.31,2022,10.7%
total employment,LV,3.31,2023,"22,500"
percent women,LV,3.31,2023,28.2%
total employment,NL,3.31,2023,"248,800"
percent women,NL,3.31,2023,12.6%
total employment,PL,3.31,2023,"628,600"
percent women,PL,3.31,2023,23.6%
total employment,PT,3.31,2023,"124,900"
percent women,PT,3.31,2023,17.2%
total employment,RO,3.31,2023,"99,700"
percent women,RO,3.31,2023,25.5%
total employment,SE,3.31,2023,"274,400"
percent women,SE,3.31,2023,19.1%
total employment,SI,3.31,2023,"36,000"
percent women,SI,3.31,2023,23.3%
total employment,SK,3.31,2023,"129,600"
percent women,SK,3.31,2023,16.8%
total employment,EU,4,2023,"19,829,300"
percent women,EU,4,2023,65.8%
percent unemployed,EU,4,2023,2.9%
relative income,EU,4,2023,98.6%
total employment,AT,4,2023,"417,400"
percent women,AT,4,2023,68.5%
total employment,BE,4,2023,"600,900"
percent women,BE,4,2023,60.9%
total employment,BG,4,2023,"177,100"
percent women,BG,4,2023,68.8%
total employment,CY,4,2023,"51,100"
percent women,CY,4,2023,73.4%
total employment,CZ,4,2023,"354,100"
percent women,CZ,4,2023,74.3%
total employment,DE,4,2023,"5,560,600"
percent women,DE,4,2023,65.6%
total employment,DK,4,2023,"188,700"
percent women,DK,4,2023,68.8%
total employment,EE,4,2023,"48,200"
percent women,EE,4,2023,63.1%
total employment,EL,4,2023,"435,800"
percent women,EL,4,2023,59.3%
total employment,ES,4,2023,"2,140,400"
percent women,ES,4,2023,67.1%
total employment,FI,4,2023,"129,300"
percent women,FI,4,2023,76.6%
total employment,FR,4,2023,"2,264,000"
percent women,FR,4,2023,72.7%
total employment,HR,4,2023,"138,400"
percent women,HR,4,2023,72%
total employment,HU,4,2023,"396,600"
percent women,HU,4,2023,69.7%
total employment,IE,4,2023,"231,800"
percent women,IE,4,2023,72.2%
total employment,IT,4,2023,"2,957,300"
percent women,IT,4,2023,63.2%
total employment,LT,4,2023,"60,700"
percent women,LT,4,2023,67.1%
total employment,LU,4,2023,"19,000"
percent women,LU,4,2023,53.5%
total employment,LV,4,2023,"46,500"
percent women,LV,4,2023,71.4%
total employment,MT,4,2023,"31,200"
percent women,MT,4,2023,57.7%
total employment,NL,4,2023,"809,700"
percent women,NL,4,2023,59.1%
