indicator,country,occupation,year,value
total employment,SK,9.92,2023,"6,900"
percent women,SK,9.92,2020,33.7%
total employment,EU,9.91,2023,"6,664,100"
percent women,EU,9.91,2023,84.3%
percent unemployed,EU,9.91,2023,5.2%
relative income,EU,9.91,2023,87.5%
total employment,AT,9.91,2023,"144,900"
percent women,AT,9.91,2023,89.8%
total employment,BE,9.91,2023,"263,500"
percent women,BE,9.91,2023,86.6%
total employment,BG,9.91,2023,"66,100"
percent women,BG,9.91,2023,87.8%
total employment,CY,9.91,2023,"35,700"
percent women,CY,9.91,2023,89.7%
total employment,CZ,9.91,2023,"94,300"
percent women,CZ,9.91,2023,94.7%
total employment,DE,9.91,2023,"1,232,500"
percent women,DE,9.91,2023,81.1%
total employment,DK,9.91,2023,"69,800"
percent women,DK,9.91,2023,65.4%
total employment,EE,9.91,2023,"17,200"
percent women,EE,9.91,2023,86.4%
total employment,EL,9.91,2023,"101,100"
percent women,EL,9.91,2023,88.7%
total employment,ES,9.91,2023,"1,105,500"
percent women,ES,9.91,2023,88.6%
total employment,FI,9.91,2023,"63,200"
percent women,FI,9.91,2023,83%
total employment,FR,9.91,2023,"1,152,300"
percent women,FR,9.91,2023,84.7%
total employment,HR,9.91,2023,"48,500"
percent women,HR,9.91,2023,94.7%
total employment,HU,9.91,2023,"118,100"
percent women,HU,9.91,2023,89.1%
total employment,IE,9.91,2023,"46,400"
percent women,IE,9.91,2023,66.6%
total employment,IT,9.91,2023,"946,900"
percent women,IT,9.91,2023,80.2%
total employment,LT,9.91,2023,"43,100"
percent women,LT,9.91,2023,84.6%
total employment,LU,9.91,2023,"16,100"
percent women,LU,9.91,2023,91.9%
total employment,LV,9.91,2023,"22,900"
percent women,LV,9.91,2023,95.9%
total employment,NL,9.91,2023,"237,200"
percent women,NL,9.91,2023,74.3%
total employment,PL,9.91,2023,"340,700"
percent women,PL,9.91,2023,90.5%
total employment,PT,9.91,2023,"213,100"
percent women,PT,9.91,2023,93.3%
total employment,RO,9.91,2023,"136,400"
percent women,RO,9.91,2023,83.8%
total employment,SE,9.91,2023,"71,700"
percent women,SE,9.91,2023,58.3%
total employment,SI,9.91,2023,"27,200"
percent women,SI,9.91,2023,89.4%
total employment,SK,9.91,2023,"49,600"
percent women,SK,9.91,2023,91.8%
total employment,EU,9.94,2023,"1,524,800"
percent women,EU,9.94,2023,66.2%
percent unemployed,EU,9.94,2023,7%
relative income,EU,9.94,2023,89.4%
total employment,AT,9.94,2023,"34,000"
percent women,AT,9.94,2023,70.8%
total employment,BE,9.94,2023,"42,400"
percent women,BE,9.94,2023,63.8%
total employment,BG,9.94,2023,"15,400"
percent women,BG,9.94,2023,71.7%
total employment,CY,9.94,2023,"6,500"
percent women,CY,9.94,2023,50.1%
total employment,CZ,9.94,2023,"11,900"
percent women,CZ,9.94,2023,89.8%
total employment,DE,9.94,2023,"332,300"
percent women,DE,9.94,2023,66.3%
total employment,DK,9.94,2023,"61,500"
percent women,DK,9.94,2023,63.2%
total employment,EE,9.94,2023,"4,700"
percent women,EE,9.94,2023,84.1%
total employment,EL,9.94,2023,"33,800"
percent women,EL,9.94,2023,59.5%
total employment,ES,9.94,2023,"200,900"
percent women,ES,9.94,2023,65.2%
total employment,FI,9.94,2023,"32,800"
percent women,FI,9.94,2023,58.1%
total employment,FR,9.94,2023,"237,600"
percent women,FR,9.94,2023,69.5%
total employment,HR,9.94,2023,"2,200"
percent women,HR,9.94,2023,100%
total employment,HU,9.94,2023,"43,900"
percent women,HU,9.94,2023,87.1%
total employment,IE,9.94,2023,"40,800"
percent women,IE,9.94,2023,52.1%
total employment,IT,9.94,2023,"100,100"
percent women,IT,9.94,2023,50%
total employment,LT,9.94,2023,"6,500"
percent women,LT,9.94,2023,84.6%
total employment,LU,9.94,2022,"2,100"
percent women,LU,9.94,2022,66.2%
total employment,LV,9.94,2023,"6,400"
percent women,LV,9.94,2020,88.2%
total employment,NL,9.94,2023,"77,800"
percent women,NL,9.94,2023,46.1%
total employment,PL,9.94,2023,"76,000"
percent women,PL,9.94,2023,87.9%
total employment,PT,9.94,2023,"49,100"
percent women,PT,9.94,2023,89%
total employment,RO,9.94,2023,"12,500"
percent women,RO,9.94,2023,69.2%
total employment,SE,9.94,2023,"66,900"
percent women,SE,9.94,2023,51.2%
total employment,SI,9.94,2023,"9,500"
percent women,SI,9.94,2023,70%
total employment,SK,9.94,2023,"17,800"
percent women,SK,9.94,2023,88.9%
total employment,EU,9.96,2023,"1,990,300"
percent women,EU,9.96,2023,24.3%
percent unemployed,EU,9.96,2023,6.2%
relative income,EU,9.96,2023,107.3%
total employment,AT,9.96,2023,"19,400"
percent women,AT,9.96,2022,33.2%
total employment,BE,9.96,2023,"45,900"
percent women,BE,9.96,2023,7.1%
total employment,BG,9.96,2023,"97,700"
percent women,BG,9.96,2023,33.3%
total employment,CY,9.96,2023,"5,600"
percent women,CY,9.96,2023,17.6%
total employment,CZ,9.96,2023,"32,900"
percent women,CZ,9.96,2023,31.6%
total employment,DE,9.96,2023,"250,500"
percent women,DE,9.96,2023,35.6%
total employment,DK,9.96,2023,"38,600"
percent women,DK,9.96,2023,34.6%
total employment,EE,9.96,2023,"18,000"
percent women,EE,9.96,2023,38.7%
total employment,EL,9.96,2023,"41,700"
percent women,EL,9.96,2023,28.8%
total employment,ES,9.96,2023,"166,800"
percent women,ES,9.96,2023,29.7%
total employment,FI,9.96,2023,"15,100"
percent women,FI,9.96,2023,29.1%
total employment,FR,9.96,2023,"238,400"
percent women,FR,9.96,2023,16.4%
total employment,HR,9.96,2023,"15,100"
percent women,HR,9.96,2023,9.2%
total employment,HU,9.96,2023,"57,400"
percent women,HU,9.96,2023,42.1%
total employment,IE,9.96,2023,"28,900"
percent women,IE,9.96,2020,19%
total employment,IT,9.96,2023,"474,500"
percent women,IT,9.96,2023,11.5%
total employment,LT,9.96,2023,"33,700"
percent women,LT,9.96,2023,38.2%
total employment,LU,9.96,2023,"2,300"
percent women,LU,9.96,2014,33.4%
total employment,LV,9.96,2023,"18,800"
percent women,LV,9.96,2023,46.8%
total employment,NL,9.96,2023,"34,100"
percent women,NL,9.96,2023,35.1%
total employment,PL,9.96,2023,"101,100"
percent women,PL,9.96,2023,40.5%
total employment,PT,9.96,2023,"68,300"
percent women,PT,9.96,2023,24.7%
total employment,RO,9.96,2023,"126,500"
percent women,RO,9.96,2023,19.2%
total employment,SE,9.96,2023,"23,700"
percent women,SE,9.96,2023,27.1%
total employment,SI,9.96,2023,"16,200"
percent women,SI,9.96,2023,30.1%
total employment,SK,9.96,2023,"18,900"
percent women,SK,9.96,2020,38.6%
total employment,EU,9.95,2023,"103,800"
percent women,EU,9.95,2022,22.2%
percent unemployed,EU,9.95,2014,11.3%
relative income,EU,9.95,2023,70.9%
total employment,BE,9.95,2013,"2,600"
total employment,BG,9.95,2023,"5,700"
total employment,CZ,9.95,2012,"1,100"
total employment,EL,9.95,2018,"2,000"
total employment,ES,9.95,2023,"5,200"
percent women,ES,9.95,2022,30.3%
total employment,FI,9.95,2023,"3,900"
percent women,FI,9.95,2022,93.6%
total employment,FR,9.95,2019,"23,400"
total employment,HU,9.95,2016,"3,300"
total employment,IT,9.95,2023,"71,000"
percent women,IT,9.95,2023,24.1%
total employment,PL,9.95,2011,"6,400"
total employment,PT,9.95,2023,"7,200"
percent women,PT,9.95,2022,43.1%
total employment,RO,9.95,2016,"7,900"
total employment,EU,9.93,2023,"5,378,400"
percent women,EU,9.93,2023,29.3%
percent unemployed,EU,9.93,2023,7.5%
relative income,EU,9.93,2023,123.2%
total employment,AT,9.93,2023,"144,000"
percent women,AT,9.93,2023,28.7%
total employment,BE,9.93,2023,"109,200"
percent women,BE,9.93,2023,25.5%
total employment,BG,9.93,2023,"120,800"
percent women,BG,9.93,2023,24.5%
total employment,CY,9.93,2023,"10,900"
percent women,CY,9.93,2023,29.5%
total employment,CZ,9.93,2023,"114,000"
percent women,CZ,9.93,2023,47.6%
total employment,DE,9.93,2023,"1,233,100"
percent women,DE,9.93,2023,30.1%
total employment,DK,9.93,2023,"120,300"
percent women,DK,9.93,2023,25%
total employment,EE,9.93,2023,"14,700"
percent women,EE,9.93,2023,45.8%
total employment,EL,9.93,2023,"56,300"
percent women,EL,9.93,2023,19.6%
total employment,ES,9.93,2023,"676,500"
percent women,ES,9.93,2023,27.1%
total employment,FI,9.93,2023,"57,500"
percent women,FI,9.93,2023,21.7%
total employment,FR,9.93,2023,"650,300"
percent women,FR,9.93,2023,35.9%
total employment,HR,9.93,2023,"37,200"
percent women,HR,9.93,2023,22.9%
total employment,HU,9.93,2023,"145,400"
percent women,HU,9.93,2023,21%
total employment,IE,9.93,2023,"63,500"
percent women,IE,9.93,2023,15.8%
total employment,IT,9.93,2023,"513,600"
percent women,IT,9.93,2023,20.8%
total employment,LT,9.93,2023,"55,900"
percent women,LT,9.93,2023,33.4%
total employment,LU,9.93,2023,"3,000"
percent women,LU,9.93,2020,18.2%
total employment,LV,9.93,2023,"53,300"
percent women,LV,9.93,2023,25.9%
total employment,NL,9.93,2023,"374,500"
percent women,NL,9.93,2023,31.3%
total employment,PL,9.93,2023,"204,500"
percent women,PL,9.93,2023,49.8%
total employment,PT,9.93,2023,"97,300"
percent women,PT,9.93,2023,32.5%
total employment,RO,9.93,2023,"359,000"
percent women,RO,9.93,2023,23.1%
total employment,SE,9.93,2023,"51,000"
percent women,SE,9.93,2023,23.6%
total employment,SI,9.93,2023,"46,400"
percent women,SI,9.93,2023,40.8%
total employment,SK,9.93,2023,"66,300"
percent women,SK,9.93,2023,25.3%
total employment,EU,6,2023,"5,817,200"
percent women,EU,6,2023,28.2%
percent unemployed,EU,6,2023,1.5%
relative income,EU,6,2023,83.8%
total employment,AT,6,2023,"134,300"
percent women,AT,6,2023,35.4%
total employment,BE,6,2023,"62,800"
percent women,BE,6,2023,21.3%
total employment,BG,6,2023,"85,700"
percent women,BG,6,2023,32.6%
total employment,CY,6,2023,"7,500"
percent women,CY,6,2023,11.3%
total employment,CZ,6,2023,"69,100"
percent women,CZ,6,2023,29.9%
total employment,DE,6,2023,"552,200"
percent women,DE,6,2023,20.7%
total employment,DK,6,2023,"46,500"
percent women,DK,6,2023,22.2%
total employment,EE,6,2023,"8,600"
percent women,EE,6,2023,33.1%
total employment,EL,6,2023,"429,300"
percent women,EL,6,2023,36.2%
total employment,ES,6,2023,"447,200"
percent women,ES,6,2023,18.6%
total employment,FI,6,2023,"72,100"
percent women,FI,6,2023,29.3%
total employment,FR,6,2023,"785,500"
percent women,FR,6,2023,23%
total employment,HR,6,2023,"40,500"
percent women,HR,6,2023,28.8%
total employment,HU,6,2023,"120,900"
percent women,HU,6,2023,27.1%
total employment,IE,6,2023,"104,200"
percent women,IE,6,2023,9.1%
total employment,IT,6,2023,"536,800"
percent women,IT,6,2023,21.4%
total employment,LT,6,2023,"37,100"
percent women,LT,6,2023,36.9%
total employment,LU,6,2023,"4,500"
percent women,LU,6,2022,19.3%
total employment,LV,6,2023,"21,400"
percent women,LV,6,2023,36.7%
total employment,MT,6,2023,"2,800"
total employment,NL,6,2023,"137,300"
percent women,NL,6,2023,20.4%
total employment,PL,6,2023,"1,208,500"
percent women,PL,6,2023,37.8%
total employment,PT,6,2023,"117,200"
percent women,PT,6,2023,25.3%
total employment,RO,6,2023,"642,300"
percent women,RO,6,2023,33.5%
total employment,SE,6,2023,"86,400"
percent women,SE,6,2023,28%
total employment,SI,6,2023,"31,000"
percent women,SI,6,2023,32.8%
total employment,SK,6,2023,"25,300"
percent women,SK,6,2023,23%
total employment,EU,6.61,2023,"5,500,300"
percent women,EU,6.61,2023,29.4%
percent unemployed,EU,6.61,2023,1.4%
relative income,EU,6.61,2023,100.8%
total employment,AT,6.61,2023,"128,300"
percent women,AT,6.61,2023,36.8%
total employment,BE,6.61,2023,"60,200"
percent women,BE,6.61,2023,22%
total employment,BG,6.61,2023,"76,800"
percent women,BG,6.61,2023,35.8%
total employment,CY,6.61,2023,"7,300"
percent women,CY,6.61,2023,11.6%
total employment,CZ,6.61,2023,"49,200"
percent women,CZ,6.61,2023,38.6%
total employment,DE,6.61,2023,"526,200"
percent women,DE,6.61,2023,21.3%
total employment,DK,6.61,2023,"44,100"
percent women,DK,6.61,2023,23.4%
total employment,EE,6.61,2023,"5,800"
percent women,EE,6.61,2023,49.5%
total employment,EL,6.61,2023,"422,700"
percent women,EL,6.61,2023,36.8%
total employment,ES,6.61,2023,"414,900"
percent women,ES,6.61,2023,19.1%
total employment,FI,6.61,2023,"59,300"
percent women,FI,6.61,2023,34.7%
total employment,FR,6.61,2023,"732,900"
percent women,FR,6.61,2023,24%
total employment,HR,6.61,2023,"37,500"
percent women,HR,6.61,2023,31%
total employment,HU,6.61,2023,"108,600"
percent women,HU,6.61,2023,29.9%
total employment,IE,6.61,2023,"101,000"
percent women,IE,6.61,2023,9.4%
total employment,IT,6.61,2023,"511,800"
percent women,IT,6.61,2023,22.3%
total employment,LT,6.61,2023,"34,100"
percent women,LT,6.61,2023,37.7%
total employment,LU,6.61,2023,"4,300"
percent women,LU,6.61,2022,20.5%
total employment,LV,6.61,2023,"14,000"
percent women,LV,6.61,2023,46.3%
total employment,NL,6.61,2023,"134,000"
percent women,NL,6.61,2023,20.7%
total employment,PL,6.61,2023,"1,189,400"
percent women,PL,6.61,2023,38.2%
total employment,PT,6.61,2023,"96,700"
percent women,PT,6.61,2023,30.1%
total employment,RO,6.61,2023,"634,200"
percent women,RO,6.61,2023,33.9%
total employment,SE,6.61,2023,"65,400"
percent women,SE,6.61,2023,33.7%
total employment,SI,6.61,2023,"28,200"
percent women,SI,6.61,2023,35.7%
total employment,SK,6.61,2023,"13,400"
percent women,SK,6.61,2023,40.8%
total employment,EU,6.62,2023,"298,700"
percent women,EU,6.62,2022,7.9%
percent unemployed,EU,6.62,2017,6.9%
relative income,EU,6.62,2023,91.1%
total employment,AT,6.62,2023,"6,000"
total employment,BE,6.62,2017,"3,400"
total employment,BG,6.62,2023,"8,000"
total employment,CY,6.62,2021,500
total employment,CZ,6.62,2023,"15,600"
percent women,CZ,6.62,2023,10.8%
total employment,DE,6.62,2023,"26,000"
total employment,DK,6.62,2023,"2,400"
total employment,EE,6.62,2023,"2,900"
total employment,EL,6.62,2023,"6,600"
percent women,EL,6.62,2019,12.3%
total employment,ES,6.62,2023,"32,300"
percent women,ES,6.62,2023,12.1%
total employment,FI,6.62,2023,"12,800"
total employment,FR,6.62,2023,"52,600"
total employment,HR,6.62,2023,"2,900"
total employment,HU,6.62,2023,"12,200"
total employment,IE,6.62,2018,"2,900"
total employment,IT,6.62,2023,"25,000"
percent women,IT,6.62,2013,5.5%
total employment,LT,6.62,2023,"2,200"
total employment,LV,6.62,2022,"5,300"
total employment,NL,6.62,2023,"2,700"
total employment,PL,6.62,2023,"16,800"
total employment,PT,6.62,2023,"20,600"
total employment,RO,6.62,2023,"8,000"
total employment,SE,6.62,2023,"20,900"
percent women,SE,6.62,2017,8.9%
total employment,SI,6.62,2023,"2,900"
total employment,SK,6.62,2023,"9,500"
total employment,EU,1,2023,"10,694,900"
percent women,EU,1,2023,34.6%
percent unemployed,EU,1,2023,1.7%
relative income,EU,1,2023,101.9%
total employment,AT,1,2023,"243,400"
percent women,AT,1,2023,35.3%
total employment,BE,1,2023,"395,400"
percent women,BE,1,2023,33.8%
total employment,BG,1,2023,"164,300"
percent women,BG,1,2023,41.5%
total employment,CY,1,2023,"20,700"
percent women,CY,1,2023,27.9%
total employment,CZ,1,2023,"256,800"
percent women,CZ,1,2023,27.8%
total employment,DE,1,2023,"1,843,900"
percent women,DE,1,2023,28.6%
total employment,DK,1,2023,"75,400"
percent women,DK,1,2023,31.8%
total employment,EE,1,2023,"54,900"
percent women,EE,1,2023,34.4%
total employment,EL,1,2023,"123,000"
percent women,EL,1,2023,30.9%
total employment,ES,1,2023,"944,100"
percent women,ES,1,2023,35.1%
total employment,FI,1,2023,"57,800"
percent women,FI,1,2023,38.4%
total employment,FR,1,2023,"1,993,900"
percent women,FR,1,2023,38.1%
total employment,HR,1,2023,"97,400"
percent women,HR,1,2023,23.9%
total employment,HU,1,2023,"184,700"
percent women,HU,1,2023,37.2%
total employment,IE,1,2023,"262,600"
percent women,IE,1,2023,37.9%
total employment,IT,1,2023,"873,300"
percent women,IT,1,2023,28%
total employment,LT,1,2023,"129,500"
percent women,LT,1,2023,36.8%
total employment,LU,1,2023,"13,500"
percent women,LU,1,2023,19.5%
total employment,LV,1,2023,"98,000"
percent women,LV,1,2023,43%
total employment,MT,1,2023,"34,600"
percent women,MT,1,2023,34.4%
total employment,NL,1,2023,"587,800"
percent women,NL,1,2023,28.8%
total employment,PL,1,2023,"1,198,800"
percent women,PL,1,2023,42.3%
total employment,PT,1,2023,"304,900"
percent women,PT,1,2023,37.8%
total employment,RO,1,2023,"207,800"
percent women,RO,1,2023,33.4%
total employment,SE,1,2023,"338,000"
percent women,SE,1,2023,43.6%
total employment,SI,1,2023,"37,800"
percent women,SI,1,2023,35%
total employment,SK,1,2023,"152,500"
percent women,SK,1,2023,33.3%
total employment,EU,1.12,2023,"2,865,600"
percent women,EU,1.12,2023,43.3%
percent unemployed,EU,1.12,2023,1.9%
relative income,EU,1.12,2023,112.6%
total employment,AT,1.12,2023,"87,500"
percent women,AT,1.12,2023,41.2%
total employment,BE,1.12,2023,"154,300"
percent women,BE,1.12,2023,41%
total employment,BG,1.12,2023,"35,400"
percent women,BG,1.12,2023,58.6%
total employment,CY,1.12,2023,"4,900"
percent women,CY,1.12,2023,43.2%
total employment,CZ,1.12,2023,"103,800"
percent women,CZ,1.12,2023,25.1%
total employment,DE,1.12,2023,"485,300"
percent women,DE,1.12,2023,32.3%
total employment,DK,1.12,2023,"23,900"
percent women,DK,1.12,2023,32.2%
total employment,EE,1.12,2023,"5,800"
percent women,EE,1.12,2023,41.2%
total employment,EL,1.12,2023,"18,300"
percent women,EL,1.12,2023,54.1%
total employment,ES,1.12,2023,"318,700"
percent women,ES,1.12,2023,44.1%
total employment,FI,1.12,2023,"19,900"
percent women,FI,1.12,2023,40.3%
total employment,FR,1.12,2023,"573,700"
percent women,FR,1.12,2023,52.3%
total employment,HR,1.12,2023,"15,000"
percent women,HR,1.12,2023,31.1%
total employment,HU,1.12,2023,"40,300"
percent women,HU,1.12,2023,55.9%
total employment,IE,1.12,2023,"69,900"
percent women,IE,1.12,2023,48.4%
total employment,IT,1.12,2023,"52,700"
percent women,IT,1.12,2023,27.7%
total employment,LT,1.12,2023,"50,600"
percent women,LT,1.12,2023,45.2%
total employment,LU,1.12,2023,"5,100"
percent women,LU,1.12,2022,26.2%
total employment,LV,1.12,2023,"27,900"
percent women,LV,1.12,2023,59.4%
total employment,NL,1.12,2023,"172,000"
percent women,NL,1.12,2023,32.3%
total employment,PL,1.12,2023,"333,600"
percent women,PL,1.12,2023,52.1%
total employment,PT,1.12,2023,"55,500"
percent women,PT,1.12,2023,57.1%
total employment,RO,1.12,2023,"36,800"
percent women,RO,1.12,2023,37.6%
total employment,SE,1.12,2023,"125,600"
percent women,SE,1.12,2023,45.6%
total employment,SI,1.12,2023,"11,800"
percent women,SI,1.12,2023,48.7%
total employment,SK,1.12,2023,"37,300"
percent women,SK,1.12,2023,33.5%
total employment,EU,1.11,2023,"1,705,000"
percent women,EU,1.11,2023,28.5%
percent unemployed,EU,1.11,2014,1.7%
relative income,EU,1.11,2023,132.2%
total employment,AT,1.11,2023,"35,400"
percent women,AT,1.11,2023,21.6%
total employment,BE,1.11,2023,"79,700"
percent women,BE,1.11,2023,26.6%
total employment,BG,1.11,2023,"14,500"
percent women,BG,1.11,2018,45.1%
total employment,CY,1.11,2023,"2,500"
total employment,CZ,1.11,2023,"40,300"
percent women,CZ,1.11,2023,23.6%
total employment,DE,1.11,2023,"613,300"
percent women,DE,1.11,2023,20.6%
total employment,DK,1.11,2023,"11,000"
percent women,DK,1.11,2022,23.3%
total employment,EE,1.11,2022,"1,400"
percent women,EE,1.11,2018,45.3%
total employment,EL,1.11,2023,"8,100"
percent women,EL,1.11,2022,49.5%
total employment,ES,1.11,2023,"56,900"
percent women,ES,1.11,2023,41.1%
total employment,FI,1.11,2023,"8,000"
percent women,FI,1.11,2023,46.1%
total employment,FR,1.11,2023,"197,100"
percent women,FR,1.11,2023,29.6%
total employment,HR,1.11,2023,"4,900"
percent women,HR,1.11,2023,37.8%
total employment,HU,1.11,2023,"8,900"
percent women,HU,1.11,2023,33.9%
total employment,IE,1.11,2023,"11,200"
total employment,IT,1.11,2023,"84,100"
percent women,IT,1.11,2023,29.7%
total employment,LT,1.11,2023,"38,700"
percent women,LT,1.11,2023,29.1%
total employment,LU,1.11,2023,"2,900"
percent women,LU,1.11,2022,21.4%
total employment,LV,1.11,2023,"42,000"
percent women,LV,1.11,2023,30.2%
total employment,NL,1.11,2023,"67,100"
percent women,NL,1.11,2023,33.6%
total employment,PL,1.11,2023,"225,700"
percent women,PL,1.11,2023,38.9%
total employment,PT,1.11,2023,"37,900"
percent women,PT,1.11,2023,33.2%
total employment,RO,1.11,2023,"74,500"
percent women,RO,1.11,2023,43.5%
total employment,SE,1.11,2023,"17,800"
percent women,SE,1.11,2023,43.2%
total employment,SI,1.11,2023,"4,000"
percent women,SI,1.11,2022,45.1%
total employment,SK,1.11,2023,"17,000"
percent women,SK,1.11,2023,29.7%
total employment,EU,1.14,2023,"2,514,200"
percent women,EU,1.14,2023,36.5%
percent unemployed,EU,1.14,2023,2.2%
relative income,EU,1.14,2023,62%
total employment,AT,1.14,2023,"37,200"
percent women,AT,1.14,2023,43.6%
total employment,BE,1.14,2023,"58,800"
percent women,BE,1.14,2023,34.8%
total employment,BG,1.14,2023,"55,900"
percent women,BG,1.14,2023,43.8%
total employment,CY,1.14,2023,"4,800"
percent women,CY,1.14,2023,17.5%
total employment,CZ,1.14,2023,"19,100"
percent women,CZ,1.14,2023,35.6%
total employment,DE,1.14,2023,"222,000"
percent women,DE,1.14,2023,42%
total employment,DK,1.14,2023,"11,600"
percent women,DK,1.14,2023,24.2%
total employment,EE,1.14,2023,"13,300"
percent women,EE,1.14,2023,43.6%
total employment,EL,1.14,2023,"59,100"
percent women,EL,1.14,2023,32.1%
total employment,ES,1.14,2023,"299,400"
percent women,ES,1.14,2023,31.9%
total employment,FI,1.14,2023,"7,500"
percent women,FI,1.14,2020,40.6%
total employment,FR,1.14,2023,"500,400"
percent women,FR,1.14,2023,38.6%
total employment,HR,1.14,2023,"30,200"
percent women,HR,1.14,2023,29.7%
total employment,HU,1.14,2023,"45,200"
percent women,HU,1.14,2023,33.5%
total employment,IE,1.14,2023,"80,600"
percent women,IE,1.14,2023,39.9%
total employment,IT,1.14,2023,"427,800"
percent women,IT,1.14,2023,31.2%
total employment,LT,1.14,2023,"9,600"
percent women,LT,1.14,2023,55.2%
total employment,LU,1.14,2023,"2,600"
percent women,LU,1.14,2022,27.4%
total employment,LV,1.14,2022,"5,500"
percent women,LV,1.14,2020,67.7%
total employment,NL,1.14,2023,"106,900"
percent women,NL,1.14,2023,25.4%
total employment,PL,1.14,2023,"285,300"
percent women,PL,1.14,2023,44.7%
total employment,PT,1.14,2023,"115,000"
percent women,PT,1.14,2023,37.3%
total employment,RO,1.14,2023,"33,400"
percent women,RO,1.14,2023,30.4%
total employment,SE,1.14,2023,"38,000"
percent women,SE,1.14,2023,42.6%
total employment,SI,1.14,2023,"6,300"
percent women,SI,1.14,2023,33.6%
total employment,SK,1.14,2023,"40,200"
percent women,SK,1.14,2023,30.9%
total employment,EU,1.13,2023,"3,534,500"
percent women,EU,1.13,2023,29.2%
percent unemployed,EU,1.13,2023,1.4%
relative income,EU,1.13,2023,101%
total employment,AT,1.13,2023,"83,300"
percent women,AT,1.13,2023,31.1%
total employment,BE,1.13,2023,"102,800"
percent women,BE,1.13,2023,28.1%
total employment,BG,1.13,2023,"58,500"
percent women,BG,1.13,2023,30.9%
total employment,CY,1.13,2023,"8,500"
percent women,CY,1.13,2023,29.4%
total employment,CZ,1.13,2023,"93,600"
percent women,CZ,1.13,2023,31%
total employment,DE,1.13,2023,"523,200"
percent women,DE,1.13,2023,28.9%
total employment,DK,1.13,2023,"28,900"
percent women,DK,1.13,2023,39.6%
total employment,EE,1.13,2023,"34,300"
percent women,EE,1.13,2023,29.8%
total employment,EL,1.13,2023,"37,400"
percent women,EL,1.13,2023,19.6%
total employment,ES,1.13,2023,"269,100"
percent women,ES,1.13,2023,26.9%
total employment,FI,1.13,2023,"22,400"
percent women,FI,1.13,2023,38.6%
total employment,FR,1.13,2023,"696,400"
percent women,FR,1.13,2023,28.9%
total employment,HR,1.13,2023,"47,300"
percent women,HR,1.13,2023,16.4%
total employment,HU,1.13,2023,"90,300"
percent women,HU,1.13,2023,31.1%
total employment,IE,1.13,2023,"100,900"
percent women,IE,1.13,2023,30.4%
total employment,IT,1.13,2023,"308,800"
percent women,IT,1.13,2023,23%
total employment,LT,1.13,2023,"30,700"
percent women,LT,1.13,2023,27%
total employment,LU,1.13,2023,"2,900"
percent women,LU,1.13,2022,35.1%
total employment,LV,1.13,2023,"24,000"
percent women,LV,1.13,2023,40.6%
total employment,NL,1.13,2023,"229,400"
percent women,NL,1.13,2023,26.8%
total employment,PL,1.13,2023,"351,800"
percent women,PL,1.13,2023,33.3%
total employment,PT,1.13,2023,"96,500"
percent women,PT,1.13,2023,29.1%
total employment,RO,1.13,2023,"63,100"
percent women,RO,1.13,2023,20.7%
total employment,SE,1.13,2023,"156,600"
percent women,SE,1.13,2023,42.4%
total employment,SI,1.13,2023,"15,700"
percent women,SI,1.13,2023,23.1%
total employment,SK,1.13,2023,"58,000"
percent women,SK,1.13,2023,35.8%
percent women,EU,8,2023,17.9%
percent unemployed,EU,8,2023,3.1%
relative income,EU,8,2023,97.5%
total employment,AT,8,2023,"232,700"
percent women,AT,8,2023,12.5%
total employment,BE,8,2023,"296,700"
percent women,BE,8,2023,11.2%
total employment,BG,8,2023,"394,500"
percent women,BG,8,2023,23.1%
total employment,CY,8,2023,"19,500"
percent women,CY,8,2023,12.2%
total employment,CZ,8,2023,"677,200"
percent women,CZ,8,2023,26.6%
total employment,DE,8,2023,"2,631,300"
percent women,DE,8,2023,15.4%
total employment,DK,8,2023,"148,600"
percent women,DK,8,2023,13.5%
total employment,EE,8,2023,"71,200"
percent women,EE,8,2023,22.8%
total employment,EL,8,2023,"275,500"
percent women,EL,8,2023,12.2%
total employment,ES,8,2023,"1,684,100"
percent women,ES,8,2023,14%
total employment,FI,8,2023,"197,900"
percent women,FI,8,2023,14.3%
total employment,FR,8,2023,"1,820,100"
percent women,FR,8,2023,18.6%
total employment,HR,8,2023,"154,200"
percent women,HR,8,2023,24%
total employment,HU,8,2023,"597,900"
percent women,HU,8,2023,29.1%
total employment,IE,8,2023,"128,700"
percent women,IE,8,2023,18%
total employment,IT,8,2023,"1,564,900"
percent women,IT,8,2023,18%
total employment,LT,8,2023,"134,700"
percent women,LT,8,2023,15.8%
total employment,LU,8,2023,"12,700"
percent women,LU,8,2022,6.7%
total employment,LV,8,2023,"83,100"
percent women,LV,8,2023,13.4%
total employment,MT,8,2023,"18,100"
percent women,MT,8,2023,21.7%
total employment,NL,8,2023,"390,000"
percent women,NL,8,2023,11.9%
total employment,PL,8,2023,"1,543,200"
percent women,PL,8,2023,14.6%
total employment,PT,8,2023,"423,500"
percent women,PT,8,2023,32.2%
total employment,RO,8,2023,"1,061,200"
percent women,RO,8,2023,19.9%
total employment,SE,8,2023,"285,600"
percent women,SE,8,2023,15.6%
total employment,SI,8,2023,"85,700"
percent women,SI,8,2023,18.4%
total employment,SK,8,2023,"318,900"
percent women,SK,8,2023,23.5%
total employment,EU,8.82,2023,"1,740,700"
