indicator,country,occupation,year,value
percent women,IT,3.35,2022,15.1%
total employment,LT,3.35,2022,"7,700"
total employment,LU,3.35,2022,"3,000"
total employment,NL,3.35,2022,"80,300"
percent women,NL,3.35,2022,20.2%
total employment,PL,3.35,2022,"99,100"
percent women,PL,3.35,2022,12.1%
total employment,PT,3.35,2022,"40,300"
percent women,PT,3.35,2022,12.6%
total employment,RO,3.35,2022,"48,500"
percent women,RO,3.35,2022,30.4%
total employment,SE,3.35,2022,"60,900"
percent women,SE,3.35,2022,22.1%
total employment,SI,3.35,2022,"7,000"
total employment,SK,3.35,2022,"33,000"
total employment,EU,3.34,2022,"3,616,700"
percent women,EU,3.34,2022,60.2%
percent unemployed,EU,3.34,2022,3.4%
relative income,EU,3.34,2020,83.6%
total employment,AT,3.34,2022,"97,100"
percent women,AT,3.34,2022,61.9%
total employment,BE,3.34,2022,"78,400"
percent women,BE,3.34,2022,56.8%
total employment,BG,3.34,2022,"15,200"
percent women,BG,3.34,2022,48.5%
total employment,CY,3.34,2022,"5,400"
percent women,CY,3.34,2022,34.3%
total employment,CZ,3.34,2022,"65,900"
percent women,CZ,3.34,2022,50.3%
total employment,DE,3.34,2022,"595,800"
percent women,DE,3.34,2022,58%
total employment,DK,3.34,2022,"47,400"
percent women,DK,3.34,2022,56.1%
total employment,EE,3.34,2022,"12,700"
percent women,EE,3.34,2022,54.8%
total employment,EL,3.34,2022,"41,900"
percent women,EL,3.34,2022,39.3%
total employment,ES,3.34,2022,"322,000"
percent women,ES,3.34,2022,48.1%
total employment,FI,3.34,2022,"90,000"
percent women,FI,3.34,2022,67.4%
total employment,FR,3.34,2022,"1,027,800"
percent women,FR,3.34,2022,64.5%
total employment,HR,3.34,2022,"13,000"
percent women,HR,3.34,2022,38.6%
total employment,HU,3.34,2022,"71,900"
percent women,HU,3.34,2022,70.5%
total employment,IE,3.34,2022,"60,700"
percent women,IE,3.34,2022,41.2%
total employment,IT,3.34,2022,"218,100"
percent women,IT,3.34,2022,53.2%
total employment,LT,3.34,2022,"18,200"
percent women,LT,3.34,2022,66.4%
total employment,LU,3.34,2022,"8,700"
percent women,LU,3.34,2022,66.8%
total employment,LV,3.34,2022,"10,400"
percent women,LV,3.34,2022,66.7%
total employment,NL,3.34,2022,"343,300"
percent women,NL,3.34,2022,66.8%
total employment,PL,3.34,2022,"245,100"
percent women,PL,3.34,2022,76.4%
total employment,PT,3.34,2022,"56,400"
percent women,PT,3.34,2022,48.6%
total employment,RO,3.34,2022,"34,600"
percent women,RO,3.34,2022,46.2%
total employment,SE,3.34,2022,"105,300"
percent women,SE,3.34,2022,57.8%
total employment,SI,3.34,2022,"11,900"
percent women,SI,3.34,2022,47.1%
total employment,SK,3.34,2022,"19,500"
percent women,SK,3.34,2022,40.2%
total employment,EU,3.33,2022,"13,237,800"
percent women,EU,3.33,2022,54.7%
percent unemployed,EU,3.33,2022,1.9%
relative income,EU,3.33,2020,103.9%
total employment,AT,3.33,2022,"377,100"
percent women,AT,3.33,2022,61.1%
total employment,BE,3.33,2022,"367,600"
percent women,BE,3.33,2022,48.6%
total employment,BG,3.33,2022,"156,500"
percent women,BG,3.33,2022,60.4%
total employment,CY,3.33,2022,"39,700"
percent women,CY,3.33,2022,51.6%
total employment,CZ,3.33,2022,"346,500"
percent women,CZ,3.33,2022,57.6%
total employment,DE,3.33,2022,"3,012,100"
percent women,DE,3.33,2022,52.1%
total employment,DK,3.33,2022,"263,800"
percent women,DK,3.33,2022,54.5%
total employment,EE,3.33,2022,"49,300"
percent women,EE,3.33,2022,65.7%
total employment,EL,3.33,2022,"132,800"
percent women,EL,3.33,2022,51.5%
total employment,ES,3.33,2022,"1,072,000"
percent women,ES,3.33,2022,45.7%
total employment,FI,3.33,2022,"162,300"
percent women,FI,3.33,2022,59.5%
total employment,FR,3.33,2022,"1,881,500"
percent women,FR,3.33,2022,67.5%
total employment,HR,3.33,2022,"89,100"
percent women,HR,3.33,2022,60.7%
total employment,HU,3.33,2022,"384,000"
percent women,HU,3.33,2022,68.2%
