onet_id,onet_title,ai_product_exposure_score,esco_title
51-9197.00,Tire Builders,0.1762866762866763,"tyre builder,, tyre fitter,, tyre vulcaniser"
51-9198.00,Helpers--Production Workers,0.21052631578947367,factory hand
51-9199.00,"Production Workers, All Other",0.12476639568871027,"brush maker,, cigarette making machine operator,, coagulation operator,, cosmetics production machine operator,, leather finishing operator,, mattress maker,, record press operator,, soap maker,, textile printer,, V-belt builder,, V-belt coverer,, V-belt finisher"
53-1041.00,Aircraft Cargo Handling Supervisors,0.16666666666666666,aircraft cargo operations coordinator
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.1640727835849787,"crane crew supervisor,, demolition supervisor,, dismantling supervisor,, rigging supervisor,, stevedore superintendent"
53-1042.01,Recycling Coordinators,0.24693570318570318,"landfill supervisor,, recycling specialist,, waste broker,, waste management officer,, waste management supervisor"
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.16666666666666666,crane crew supervisor
53-1044.00,First-Line Supervisors of Passenger Attendants,0.17310789049919484,"cabin crew manager,, chief conductor"
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",0.22211659213751514,"air force pilot,, aircraft pilot,, airline transport pilot,, astronaut,, co-pilot,, commercial pilot,, flight instructor,, helicopter pilot,, second officer"
53-2012.00,Commercial Pilots,0.21473931476621577,"air force pilot,, aircraft pilot,, airline transport pilot,, co-pilot,, commercial pilot,, helicopter pilot,, private pilot"
53-2021.00,Air Traffic Controllers,0.2810938265203238,"aeronautical information service officer,, aeronautical information specialist,, air traffic controller,, air traffic manager,, aircraft dispatcher,, airport operations officer,, flight operations officer"
53-2022.00,Airfield Operations Specialists,0.20689655172413793,airport operations officer
53-2031.00,Flight Attendants,0.22315668202764977,"flight attendant,, ship steward/ship stewardess,, steward/stewardess,, train attendant"
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.36717267552182165,"emergency ambulance driver,, patient transport services driver"
53-3031.00,Driver/Sales Workers,0.17801488833746898,"bicycle courier,, car and van delivery driver,, cargo vehicle driver,, motorcycle delivery person"
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,0.2089869457330888,"cargo vehicle driver,, concrete pump operator,, dangerous goods driver,, rail intermodal equipment operator,, refuse vehicle driver"
53-3033.00,Light Truck Drivers,0.17666352927754486,"car and van delivery driver,, cargo vehicle driver,, moving truck driver"
53-3051.00,"Bus Drivers, School",0.18928571428571428,"bus driver,, trolley bus driver"
53-3052.00,"Bus Drivers, Transit and Intercity",0.15059043778801845,"bus driver,, school bus attendant,, tram driver,, trolley bus driver"
53-3053.00,Shuttle Drivers and Chauffeurs,0.21275951289942419,"bus driver,, hearse driver,, patient transport services driver,, private chauffeur,, taxi driver,, tram driver,, trolley bus driver"
53-3054.00,Taxi Drivers,0.2352906137811576,"armoured car driver,, bus driver,, cargo vehicle driver,, hearse driver,, patient transport services driver,, private chauffeur,, taxi driver,, trolley bus driver"
53-4011.00,Locomotive Engineers,0.21004350594227505,"rolling stock inspector,, shunter,, train driver,, train preparer"
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.1742831541218638,"rail maintenance technician,, rail switchperson,, shunter"
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",0.11706989247311828,"level crossing signalperson,, rail maintenance technician,, rail switchperson,, rail traffic controller,, shunter"
53-4031.00,Railroad Conductors and Yardmasters,0.08216403162055336,"chief conductor,, rail switchperson,, rail traffic controller,, train conductor,, train dispatcher"
53-4041.00,Subway and Streetcar Operators,0.18496543778801844,"bus driver,, train driver,, tram driver,, trolley bus driver"
53-5011.00,Sailors and Marine Oilers,0.14959307726967494,"boat rigger,, boatswain,, deck officer,, decksman,, engine minder,, helmsman,, matrose,, ordinary seaman,, sailor"
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",0.17441762980730344,"deck officer,, fisheries boatmaster,, fisheries master,, helmsman,, maritime pilot,, ship captain,, skipper"
53-5022.00,Motorboat Operators,0.14145004420866492,"fisheries boatman,, maritime pilot,, sailor"
53-5031.00,Ship Engineers,0.21165416471323645,"marine engineer,, marine mechanic,, ship duty engineer"
53-6011.00,Bridge and Lock Tenders,0.1521335807050093,"bridge construction supervisor,, underwater construction supervisor"
53-6021.00,Parking Attendants,0.18518518518518515,parking valet
53-6031.00,Automotive and Watercraft Service Attendants,0.2951388888888889,"aircraft fuel system operator,, greaser,, roadside vehicle technician,, vehicle maintenance attendant"
53-6032.00,Aircraft Service Attendants,0.1111111111111111,aircraft fuel system operator
53-6051.00,Transportation Inspectors,0.23685372523708775,"dangerous goods safety adviser,, freight inspector,, marine cargo inspector,, marine surveyor,, rolling stock assembly inspector,, rolling stock inspector"
53-6051.01,Aviation Inspectors,0.2493250923557829,"aircraft assembly inspector,, aviation inspector,, aviation safety officer"
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0.23888416118159692,"motor vehicle assembly inspector,, rolling stock engine inspector,, rolling stock inspector,, vessel assembly inspector,, vessel engine inspector"
53-6061.00,Passenger Attendants,0.2749615975422427,"flight attendant,, ground steward/ground stewardess,, railway passenger service agent,, ship steward/ship stewardess,, steward/stewardess,, train attendant"
53-6099.00,"Transportation Workers, All Other",0.09090909090909093,automated cable vehicle controller
53-7021.00,Crane and Tower Operators,0.1636943346508564,"container crane operator,, mobile crane operator,, production plant crane operator,, rigger,, tower crane operator"
53-7031.00,Dredge Operators,0.14393939393939392,"dredge operator,, excavator operator"
53-7041.00,Hoist and Winch Operators,0.1846179183135705,"container crane operator,, mobile crane operator,, production plant crane operator,, tower crane operator"
53-7051.00,Industrial Truck and Tractor Operators,0.22816324631206664,"cargo vehicle driver,, forklift operator,, moving truck driver"
